name,tank,hour,hours_fish,date,time,sponge_type,sample,experiment,RUN
D5.SW.BLANK,SW,CONTROL,-48,22/10/2020,10:00,C.SW,ne,tank,3
D5.TANKA.48H.SPONGE.BLACK,TANKA,48,-48,22/10/2020,10:00,SP.BLACK,po,tank,4
D5.TANKA.48H.SPONGE.CREAM,TANKA,48,-48,22/10/2020,10:00,SP.CREAM,po,tank,4
D5.TANKA.48H.SPONGE.PINK,TANKA,48,-48,22/10/2020,10:00,SP.PINK,po,tank,4
D5.TANKA.48H.WATER,TANKA,48,-48,22/10/2020,10:00,WATER,po,tank,3
D5.TANKB.48H.SPONGE.BLACK,TANKB,48,-48,22/10/2020,10:00,SP.BLACK,po,tank,4
D5.TANKB.48H.SPONGE.CREAM,TANKB,48,-48,22/10/2020,10:00,SP.CREAM,po,tank,4
D5.TANKB.48H.SPONGE.PINK,TANKB,48,-48,22/10/2020,10:00,SP.PINK,po,tank,4
D5.TANKB.48H.WATER,TANKB,48,-48,22/10/2020,10:00,WATER,po,tank,3
D5.TANKC.48H.SPONGE.BLACK,TANKC,48,-48,22/10/2020,10:00,SP.BLACK,po,tank,4
D5.TANKC.48H.SPONGE.CREAM,TANKC,48,-48,22/10/2020,10:00,SP.CREAM,po,tank,4
D5.TANKC.48H.SPONGE.PINK,TANKC,48,-48,22/10/2020,10:00,SP.PINK,po,tank,4
D5.TANKC.48H.WATER,TANKC,48,-48,22/10/2020,10:00,WATER,po,tank,3
D6.FILT.BLANK,FILT,CONTROL,-72,23/10/2020,10:00,C.FL,ne,tank,NA
D6.SPONGE.CONTROL,CONTROL,CONTROL,-72,23/10/2020,10:00,C.SP,ne,tank,4
D6.SW.BLANK,SW,CONTROL,-72,23/10/2020,10:00,C.SW,ne,tank,3
D6.TANKA.72H.SPONGE.BLACK,TANKA,72,-72,23/10/2020,10:00,SP.BLACK,po,tank,4
D6.TANKA.72H.SPONGE.CREAM,TANKA,72,-72,23/10/2020,10:00,SP.CREAM,po,tank,4
D6.TANKA.72H.SPONGE.PINK,TANKA,72,-72,23/10/2020,10:00,SP.PINK,po,tank,4
D6.TANKA.72H.WATER,TANKA,72,-72,23/10/2020,10:00,WATER,po,tank,3
D6.TANKB.72H.SPONGE.BLACK,TANKB,72,-72,23/10/2020,10:00,SP.BLACK,po,tank,4
D6.TANKB.72H.SPONGE.CREAM,TANKB,72,-72,23/10/2020,10:00,SP.CREAM,po,tank,4
D6.TANKB.72H.SPONGE.PINK,TANKB,72,-72,23/10/2020,10:00,SP.PINK,po,tank,4
D6.TANKB.72H.WATER,TANKB,72,-72,23/10/2020,10:00,WATER,po,tank,3
D6.TANKC.72H.SPONGE.BLACK,TANKC,72,-72,23/10/2020,10:00,SP.BLACK,po,tank,4
D6.TANKC.72H.SPONGE.CREAM,TANKC,72,-72,23/10/2020,10:00,SP.CREAM,po,tank,4
D6.TANKC.72H.SPONGE.PINK,TANKC,72,-72,23/10/2020,10:00,SP.PINK,po,tank,4
D6.TANKC.72H.WATER,TANKC,72,-72,23/10/2020,10:00,WATER,po,tank,3
EXT.BLANK.20201105,EXT,CONTROL,NA,NA,NA,C.EX,ne,tank,3
EXT.BLANK.20201106,EXT,CONTROL,NA,NA,NA,C.EX,ne,tank,3
EXT.BLANK.20210607,EXT,CONTROL,NA,NA,NA,C.EX,ne,tank,4
EXT.BLANK.20210608,EXT,CONTROL,NA,NA,NA,C.EX,ne,tank,4
EXT.BLANK.20210609,EXT,CONTROL,NA,NA,NA,C.EX,ne,tank,4
EXT.BLANK.20210610,EXT,CONTROL,NA,NA,NA,C.EX,ne,tank,NA
LIB01.PCR.Neg.01,PCR,CONTROL,NA,NA,NA,NA,ne,tank,3
LIB01.PCR.Neg.02,PCR,CONTROL,NA,NA,NA,NA,ne,tank,3
LIB01.PCR.Pos.01,PCR,Pos,NA,NA,NA,NA,po,tank,3
LIB01.PCR.Pos.02,PCR,Pos,NA,NA,NA,NA,po,tank,3
LIB02.PCR.Neg.01,PCR,CONTROL,NA,NA,NA,NA,ne,tank,4
LIB02.PCR.Neg.02,PCR,CONTROL,NA,NA,NA,NA,ne,tank,4
LIB02.PCR.Neg.03,PCR,CONTROL,NA,NA,NA,NA,ne,tank,4
LIB02.PCR.Pos.01,PCR,Pos,NA,NA,NA,NA,po,tank,4
LIB02.PCR.Pos.02,PCR,Pos,NA,NA,NA,NA,po,tank,4
LIB02.PCR.Pos.03,PCR,Pos,NA,NA,NA,NA,po,tank,4
