,kingdom_name,phylum_name,class_name,order_name,family_name,genus_name,species_name,D2.FILT.BLANK,D2.SW.BLANK,D2.TANKA.FISH.WATER,D2.TANKB.FISH.WATER,D2.TANKC.FISH.WATER,D3.TANKA.00H.WATER,D3.TANKA.04H.WATER,D3.TANKA.08H.WATER,D3.TANKB.00H.WATER,D3.TANKB.08H.WATER,D3.TANKC.00H.WATER,D3.TANKC.04H.WATER,D4.FILT.BLANK,D4.TANKA.24H.WATER,D4.TANKB.24H.WATER,D5.FILT.BLANK,D5.REEF.01.WATER,D5.REEF.02.WATER,D5.REEF.03.WATER,D5.SW.BLANK,D5.TANKA.48H.WATER,D5.TANKC.48H.WATER,D6.SW.BLANK,D6.TANKA.72H.WATER,EXT.BLANK.20201105,EXT.BLANK.20201106,LIB01.PCR.Neg.02,LIB01.PCR.Pos.02,D1.TANKA.SPONGE.CREAM,D1.TANKA.SPONGE.PINK,D1.TANKB.SPONGE.CREAM,D1.TANKC.SPONGE.BLACK,D1.TANKC.SPONGE.CREAM,D1.TANKC.SPONGE.PINK,D2.TANKA.FISH.SPONGE.CREAM,D2.TANKB.FISH.SPONGE.CREAM,D2.TANKB.FISH.SPONGE.PINK,D2.TANKC.FISH.SPONGE.CREAM,D2.TANKC.FISH.SPONGE.PINK,D3.TANKA.00H.SPONGE.CREAM,D3.TANKA.00H.SPONGE.PINK,D3.TANKA.04H.SPONGE.CREAM,D3.TANKA.04H.SPONGE.PINK,D3.TANKA.08H.SPONGE.CREAM,D3.TANKA.08H.SPONGE.PINK,D3.TANKB.00H.SPONGE.CREAM,D3.TANKB.00H.SPONGE.PINK,D3.TANKB.04H.SPONGE.CREAM,D3.TANKB.08H.SPONGE.CREAM,D3.TANKB.08H.SPONGE.PINK,D3.TANKC.00H.SPONGE.CREAM,D3.TANKC.00H.SPONGE.PINK,D3.TANKC.04H.SPONGE.CREAM,D3.TANKC.08H.SPONGE.CREAM,D3.TANKC.08H.SPONGE.PINK,D4.SPONGE.CONTROL,D4.TANKA.24H.SPONGE.CREAM,D4.TANKA.24H.SPONGE.PINK,D4.TANKB.24H.SPONGE.CREAM,D4.TANKB.24H.SPONGE.PINK,D4.TANKC.24H.SPONGE.CREAM,D4.TANKC.24H.SPONGE.PINK,D5.REEF.01.SPONGE,D5.REEF.03.SPONGE,D5.TANKA.48H.SPONGE.PINK,D5.TANKB.48H.SPONGE.PINK,D5.TANKC.48H.SPONGE.CREAM,D5.TANKC.48H.SPONGE.PINK,D6.SPONGE.CONTROL,D6.TANKA.72H.SPONGE.CREAM,D6.TANKA.72H.SPONGE.PINK,D6.TANKB.72H.SPONGE.PINK,D6.TANKC.72H.SPONGE.PINK,EXT.BLANK.20210607,EXT.BLANK.20210608,LIB02.PCR.Pos.01,LIB02.PCR.Pos.02,LIB02.PCR.Pos.03
tank_000000100,Metazoa,Chordata,Actinopterygii,Acanthuriformes,Acanthuridae,Acanthurus,Acanthurus guttatus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,743,0,966,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tank_000000158,Metazoa,Chordata,Actinopterygii,Perciformes,Pomacentridae,Chromis,Chromis viridis,0,0,261,499,23,222,1417,0,994,0,173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,170,1485,0,0,40,0,0,96,0,0,584,0,0,0,0,0,0,0,1294,0,0,0,0,0,0,0,0,0,0,0,0,1357,0,0,0,0,0,0,0,0,0,0
tank_000000242,Metazoa,Chordata,Actinopterygii,Gobiiformes,Gobiidae,Ptereleotris,Ptereleotris zebra,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,393,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tank_000000328,Metazoa,Chordata,Actinopterygii,Acanthuriformes,Acanthuridae,Naso,Naso elegans,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1029,674,223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tank_000000556,Metazoa,Chordata,Actinopterygii,Siluriformes,Pangasiidae,Pangasianodon,Pangasianodon hypophthalmus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88779,102260,362
tank_000000701,Metazoa,Chordata,Actinopterygii,Clupeiformes,Clupeidae,Clupea,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tank_000000880,Metazoa,Chordata,Actinopterygii,Clupeiformes,Clupeidae,Brevoortia,Brevoortia tyrannus,0,0,0,0,0,0,0,0,0,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4869,0,0,0,0,0,0,0,0,0,0,0,0,1841,290,0,0,0,0,0,0,0,0,0,565,0,0,0,0,0,0,0,2301,0,0,0,0,0,0,0,0,0,0,0,0
tank_000001101,Metazoa,Chordata,Actinopterygii,Osmeriformes,Salangidae,Mallotus,Mallotus villosus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8709,0,0,384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tank_000001384,Metazoa,Chordata,Actinopterygii,Acanthuriformes,Acanthuridae,Zebrasoma,Zebrasoma flavescens,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,354,0,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5232,0,0,10040,850,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tank_000001747,Metazoa,Chordata,Actinopterygii,Perciformes,Pomacentridae,Chrysiptera,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,362,198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
